QueryType,Frequency
Total,6110014
Weather,2531222
Plant Protection,1111773
Government Schemes,819247
Nutrient Management,294872
NA,182565
Cultural Practices,182350
Market Information,171554
Fertilizer Use and Availability,157717
Weed Management,121557
Varieties,118727
Seeds and Planting Material,62088
Seeds,48237
Sowing Time and Weather,41454
Crop Insurance,40059
Training and Exposure Visits,25346
Bio-Pesticides and Bio-Fertilizers,19493
Credit,19288
Water Management,18967
Vegetative Propagation and Tissue Culture,15302
Agriculture Mechanization,15122
Field Preparation,14444
Soil Testing,10652
Disease Management,10257
Organic Farming,9603
"Animal Production (Piggery, Goatery, Sheep Farming etc.)",6225
Nursery Management,5778
"Water Management, Micro Irrigation",5653
Cattle shed Planning and Management,5483
Soil Health Card,4870
Dairy Production,4335
"Tank, Pond and Reservoir Management",4049
Animal Nutrition,4014
Disease Reporting,3129
Animal Breeding,2729
Livestock Products Processing and Packaging,2127
Spices and Condiment Crops,2068
"Power, Roads etc.",2039
Storage,1881
"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",1729
Mushroom Production,1653
Post Harvest Preservation,1586
Medicinal and Aromatic Plants,1052
Fish Fingerling Production,1026
Fishery Nutrition,1000
Integrated Farming,924
Water Testing for Fish Production,745
Floriculture,587
Artificial Insemination,403
Fish Marketing,400
Plasticulture,336
Fishery Mechanization,304
Freshwater Pearl Farming.,267
Landscaping,216
Cold Storage,212
Old/Senile Orchard Rejuvenation,202
Freshwater pearl culture,176
Breeding and culture of ornamental fish,166
Breeding of freshwater prawn,144
Fish Dressing Drying,133
Magur Breeding and Culture,122
Beekeeping,114
Fishing Harbours and Landing Centre,83
Coastal Aquaculture,71
Deep Sea Fishing and Processing,45
Seaweed Cultivation,42
